client_name,country,fiscal_year_end,engagement_status,hours_logged,entry_date
Kestrel Audit,GB,2026-06-30,complete,53.6,2026-09-30
Granite Audit Group,US,2026-12-31,review,84.1,2026-09-30
Northgate Assurance,IE,2026-09-30,fieldwork,67.0,2026-12-31
Delta Assurance,US,2026-03-31,planning,-5,2026-12-31
Vantage Audit,CH,2026-06-30,review,13.0,2026-12-31
Pinnacle Audit Co,US,2026-09-30,complete,56.4,2026-09-30
Granite Audit Group,IE,2026-03-31,fieldwork,74.0,2026-06-30
Kestrel Audit,DE,2026-03-31,review,17.7,2026-03-31
Meridian CPAs,ES,2026-09-30,complete,95.6,2026-12-31
Zenith Assurance,GB,2026-03-31,planning,54.8,2026-06-30
Alpine Audit Partners,NL,2026-06-30,review,46.0,2026-06-30
Summit Assurance,ES,2026-06-30,review,85.9,2026-03-31
Granite Audit Group (UK),IT,2026-06-30,review,66.0,2026-06-30
Northgate Assurance,GB,2026-06-30,fieldwork,70.0,2026-03-31
Zenith Assurance,FR,2026-06-30,complete,85.8,2026-12-31
Alpine Audit Partners (UK),CH,2026-12-31,review,14.6,2026-03-31
Delta Assurance,IE,2026-12-31,complete,39.8,2026-09-30
Delta Assurance,US,2026-12-31,complete,24.0,2026-06-30
Meridian CPAs,,2026-06-30,review,42.9,2026-12-31
Alpine Audit Partners,GB,2026-09-30,review,120.0,2026-03-31
Everest Advisory,BE,,complete,2.2,2026-06-30
Fairview CPAs,DE,Dec 31st,review,90.9,2026-03-31
Oakfield LLP (US),IE,2026-06-30,review,67.5,2026-03-31
Northgate Assurance,NL,2026-12-31,planning,105.7,2026-03-31
Lakeshore Partners,ES,2026-06-30,fieldwork,28.7,2026-09-30
Ironoak Assurance,NL,2026-03-31,review,80.6,2026-06-30
Granite Audit Group (US),GB,2026-09-30,planning,8.1,2026-12-31
Juniper & Frost,,2026-12-31,complete,83.5,2026-03-31
Yellowfield LLP,BE,2026-12-31,review,60.9,2026-03-31
Lakeshore Partners,IE,2026-09-30,review,95.0,2026-12-31
Quarry & Stone,GB,2026-03-31,review,113.8,2026-03-31
Pinnacle Audit Co,GB,2026-03-31,complete,9.3,2026-06-30
Zenith Assurance (EU),FR,,review,83.6,2026-12-31
Kestrel Audit,US,2026-03-31,review,115.0,2026-03-31
Harborline LLP (UK),IT,2026-12-31,fieldwork,48.3,2026-03-31
MERIDIAN CPAS,DE,2026-06-30,planning,53.1,2026-06-30
UMBERLINE LLP (US),NL,2026-12-31,planning,3.8,2026-12-31
Fairview CPAs (EU),IE,2026-12-31,review,67.6,2026-03-31
Fairview CPAs,BE,2026-03-31,review,82.7,2026-06-30
Fairview CPAs (US),BE,2026-06-30,planning,89.0,2026-09-30
Quarry & Stone,GB,2026-03-31,review,113.8,2026-03-31
Yellowfield LLP (EU),CH,2026-09-30,review,39.6,2026-09-30
Alpine Audit Partners (US),,2026-06-30,complete,many,2026-09-30
Vantage Audit (US),DE,2026-09-30,review,5.4,2026-09-30
Oakfield LLP,FR,,complete,112.3,2026-12-31
Vantage Audit,DE,2026-12-31,review,52.5,2026-12-31
GRANITE AUDIT GROUP,NL,2026-09-30,planning,many,2026-12-31
Everest Advisory,FR,2026-03-31,fieldwork,74.9,2026-06-30
Oakfield LLP,BE,2026-06-30,review,13.6,2026-03-31
Zenith Assurance,IE,2026-09-30,complete,88.2,2026-03-31
Meridian CPAs,US,2026-06-30,review,61.5,2026-09-30
Oakfield LLP,BE,2026-03-31,fieldwork,16.6,2026-06-30
Westbrook CPAs (EU),NL,2026-03-31,complete,89.7,2026-06-30
Ironoak Assurance (UK),ES,2026-03-31,planning,96.2,2026-09-30
Northgate Assurance,,2026-03-31,complete,5.6,2026-06-30
Everest Advisory,IE,2026-06-30,planning,41.1,2026-12-31
Vantage Audit,BE,2026-06-30,planning,19.0,2026-12-31
Quarry & Stone,US,,complete,109.2,2026-12-31
Kestrel Audit,US,2026-06-30,fieldwork,91.9,2026-12-31
Juniper & Frost,FR,2026-09-30,complete,79.3,2026-09-30
Summit Assurance,DE,2026-12-31,planning,18.3,2026-03-31
Beacon & Co,FR,2026-09-30,planning,77.0,2026-12-31
Pinnacle Audit Co (UK),ES,2026-12-31,review,29.6,2026-09-30
  Westbrook CPAs (EU) ,DE,2026-03-31,review,85.8,2026-09-30
Yellowfield LLP,IE,2026-09-30,fieldwork,99.0,2026-09-30
Westbrook CPAs,BE,2026-12-31,planning,88.1,2026-06-30
Summit Assurance,FR,2026-06-30,planning,67.9,2026-12-31
Alpine Audit Partners,IT,2026-03-31,planning,38.5,2026-06-30
  Northgate Assurance ,NL,2026-12-31,planning,105.7,2026-03-31
Umberline LLP,IE,2026-09-30,fieldwork,22.1,2026-09-30
Quarry & Stone (EU),GB,2026-03-31,review,17.6,2026-12-31
Everest Advisory (UK),CH,2026-12-31,review,70.1,2026-03-31
Juniper & Frost,NL,2026-03-31,planning,43.3,2026-12-31
Vantage Audit,IE,2026-03-31,review,many,2026-12-31
Westbrook CPAs (EU),GB,N/A,complete,106.1,2026-09-30
Alpine Audit Partners,US,2026-06-30,planning,-5,2026-09-30
Thornton & Vale (US),FR,31-06-2026,complete,102.8,2026-09-30
Alpine Audit Partners,DE,2026-09-30,complete,90.7,2026-06-30
Westbrook CPAs,DE,2026-12-31,complete,86.4,2026-09-30
Quarry & Stone,IE,2026-03-31,fieldwork,30.7,2026-03-31
Everest Advisory (EU),IT,2026-03-31,complete,0.6,2026-12-31
Ironoak Assurance,BE,2026-09-30,review,91.5,2026-12-31
Cedarwood LLP,BE,2026-06-30,planning,64.5,2026-03-31
Fairview CPAs,CH,,fieldwork,58.6,2026-09-30
Summit Assurance (EU),GB,2026-09-30,review,60.1,2026-09-30
Alpine Audit Partners,,2026-09-30,complete,50.1,2026-12-31
Thornton & Vale,BE,31-06-2026,review,12.4,2026-03-31
Westbrook CPAs (EU),BE,2026-13-45,fieldwork,18.3,2026-03-31
Everest Advisory,GB,2026-03-31,fieldwork,85.4,2026-03-31
Oakfield LLP,DE,2026-06-30,review,57.9,2026-09-30
Vantage Audit,ES,2026-03-31,complete,84.4,2026-12-31
Thornton & Vale,FR,2026-09-30,fieldwork,84.7,2026-06-30
Zenith Assurance (US),FR,2026-09-30,planning,38.7,2026-03-31
Oakfield LLP,NL,2026-03-31,fieldwork,many,2026-12-31
Juniper & Frost,,2026-12-31,fieldwork,31.8,2026-12-31
Meridian CPAs,FR,2026-03-31,complete,31.2,2026-06-30
Oakfield LLP,GB,2026-03-31,complete,60.7,2026-09-30
Meridian CPAs,DE,2026-06-30,planning,53.1,2026-06-30
Cedarwood LLP,,2026-03-31,complete,53.1,2026-09-30
Ironoak Assurance,CH,2026-06-30,fieldwork,13.7,2026-09-30
Ironoak Assurance (UK),DE,2026-03-31,review,76.1,2026-06-30
Zenith Assurance,BE,2026-06-30,fieldwork,94.1,2026-03-31
Zenith Assurance (UK),NL,2026-13-45,planning,54.7,2026-12-31
Zenith Assurance,CH,2026-03-31,complete,,2026-12-31
Everest Advisory,,2026-09-30,review,20.1,2026-12-31
Yellowfield LLP (EU),ES,2026-03-31,review,109.6,2026-03-31
Beacon & Co,BE,2026-03-31,review,107.0,2026-06-30
Beacon & Co (EU),CH,2026-09-30,planning,105.5,2026-03-31
Delta Assurance,,2026-06-30,complete,78.6,2026-09-30
Thornton & Vale,US,2026-03-31,review,22.8,2026-06-30
Pinnacle Audit Co (EU),CH,2026-06-30,planning,22.9,2026-03-31
Alpine Audit Partners,DE,Dec 31st,planning,75.0,2026-06-30
HARBORLINE LLP,FR,2026-12-31,complete,35.9,2026-12-31
Quarry & Stone,FR,2026-12-31,planning,108.3,2026-03-31
Kestrel Audit,IT,2026-09-30,fieldwork,52.1,2026-12-31
Juniper & Frost,NL,2026-13-45,complete,103.7,2026-06-30
Yellowfield LLP (EU),IE,2026-03-31,fieldwork,26.9,2026-12-31
Alpine Audit Partners (US),,31/12/2026,review,28.6,2026-09-30
Harborline LLP,CH,2026-13-45,fieldwork,95.8,2026-12-31
Beacon & Co,FR,2026-09-30,review,103.0,2026-12-31
Summit Assurance,ES,2026-09-30,complete,33.6,2026-06-30
Granite Audit Group (EU),CH,2026-06-30,planning,35.5,2026-06-30
Umberline LLP (US),NL,2026-12-31,planning,3.8,2026-12-31
Granite Audit Group (US),,2026-09-30,fieldwork,33.4,2026-12-31
Pinnacle Audit Co,FR,2026-06-30,fieldwork,62.5,2026-03-31
Vantage Audit,IT,2026-12-31,planning,87.4,2026-12-31
Juniper & Frost,BE,2026-09-30,planning,83.6,2026-06-30
Everest Advisory (UK),ES,2026-03-31,complete,38.4,2026-12-31
Quarry & Stone (UK),DE,2026-03-31,review,68.3,2026-09-30
Kestrel Audit,,2026-09-30,complete,113.4,2026-12-31
Delta Assurance (UK),ES,2026-12-31,review,9.0,2026-12-31
Beacon & Co (UK),US,2026-09-30,review,114.9,2026-09-30
Riverbend CPAs (US),CH,2026-09-30,fieldwork,84.6,2026-06-30
Everest Advisory,ES,2026-03-31,fieldwork,102.3,2026-03-31
Yellowfield LLP (US),FR,2026-06-30,review,47.7,2026-12-31
Umberline LLP,,2026-12-31,complete,77.7,2026-12-31
Northgate Assurance,GB,2026-06-30,planning,67.0,2026-09-30
Harborline LLP (US),IE,2026-09-30,planning,25.4,2026-09-30
Riverbend CPAs,GB,2026-06-30,complete,77.1,2026-03-31
Everest Advisory,BE,2026-12-31,complete,79.8,2026-09-30
Zenith Assurance,ES,2026-09-30,planning,110.1,2026-12-31
Beacon & Co (EU),NL,2026-03-31,planning,93.8,2026-06-30
Beacon & Co,BE,2026-06-30,review,68.4,2026-09-30
THORNTON & VALE,IT,2026-06-30,review,99.7,2026-12-31
Quarry & Stone (UK),ES,2026-03-31,complete,22.4,2026-09-30
Pinnacle Audit Co (US),ES,2026-09-30,planning,35.4,2026-03-31
Harborline LLP,GB,2026-12-31,complete,87.3,2026-12-31
Alpine Audit Partners (US),IE,2026-03-31,fieldwork,48.1,2026-03-31
Alpine Audit Partners,CH,2026-03-31,fieldwork,81.3,2026-06-30
Zenith Assurance (US),NL,2026-03-31,complete,32.3,2026-06-30
Northgate Assurance,GB,2026-06-30,planning,90.8,2026-03-31
Granite Audit Group,IT,2026-03-31,fieldwork,64.7,2026-09-30
CEDARWOOD LLP,CH,2026-09-30,planning,43.1,2026-12-31
Vantage Audit (US),CH,2026-03-31,review,23.9,2026-12-31
Ironoak Assurance (EU),IT,2026-09-30,planning,32.1,2026-06-30
Lakeshore Partners (UK),IE,2026-09-30,fieldwork,28.4,2026-03-31
Pinnacle Audit Co,GB,2026-13-45,fieldwork,many,2026-12-31
Thornton & Vale,ES,2026-12-31,complete,22.2,2026-03-31
Thornton & Vale,DE,2026-09-30,review,45.6,2026-06-30
Yellowfield LLP,NL,2026-09-30,complete,11.2,2026-03-31
Harborline LLP (US),IE,2026-09-30,planning,25.4,2026-09-30
Oakfield LLP (EU),GB,2026-03-31,review,82.6,2026-12-31
OAKFIELD LLP (US),IE,2026-06-30,review,67.5,2026-03-31
Everest Advisory,CH,2026-03-31,complete,104.2,2026-12-31
Westbrook CPAs,BE,2026-03-31,review,113.9,2026-06-30
Riverbend CPAs (UK),,2026-06-30,complete,51.1,2026-09-30
Thornton & Vale,DE,2026-09-30,review,50.2,2026-09-30
Yellowfield LLP,IE,2026-03-31,planning,60.8,2026-03-31
Granite Audit Group,US,2026-12-31,review,84.1,2026-09-30
Pinnacle Audit Co,ES,2026-13-45,fieldwork,2.6,2026-03-31
Cedarwood LLP,BE,2026-12-31,fieldwork,47.3,2026-06-30
Zenith Assurance,DE,2026-03-31,complete,4.9,2026-09-30
Everest Advisory,BE,2026-06-30,complete,many,2026-06-30
Oakfield LLP,CH,2026-06-30,review,112.3,2026-03-31
Meridian CPAs,DE,2026-12-31,complete,92.5,2026-12-31
Westbrook CPAs (EU),BE,2026-12-31,planning,58.7,2026-09-30
Granite Audit Group,NL,2026-09-30,planning,many,2026-12-31
Ironoak Assurance,US,2026-12-31,planning,119.8,2026-12-31
Oakfield LLP,CH,2026-06-30,fieldwork,21.3,2026-09-30
Ironoak Assurance (UK),,2026-03-31,review,105.9,2026-09-30
